date,portfolio_value,cash,n_positions,regime
2023-10-31,188884.93295144502,126836.97482156221,12,0
2023-11-01,188503.01421468964,132310.02367513886,10,0
2023-11-02,188916.88305013886,132310.02367513886,10,0
2023-11-03,189006.2030269455,132310.02367513886,10,0
2023-11-06,189442.02275961151,132310.02367513886,10,0
2023-11-07,189687.4215022873,132310.02367513886,10,0
2023-11-08,189841.13104601903,33067.44240160984,27,0
2023-11-09,189962.01057787938,33067.44240160984,27,0
2023-11-10,190237.90631457372,33067.44240160984,27,0
2023-11-13,191108.67779894872,33067.44240160984,27,0
2023-11-14,191108.67779894872,33067.44240160984,27,0
2023-11-15,192984.32984011693,27514.7634643845,29,0
2023-11-16,193609.2431091599,27514.7634643845,29,0
2023-11-17,193639.49606936498,27514.7634643845,29,0
2023-11-20,193716.74805300756,27514.7634643845,29,0
2023-11-21,194147.97263186498,27514.7634643845,29,0
2023-11-22,194582.69964784093,36334.231447157326,31,0
2023-11-23,194497.9577807755,36334.231447157326,31,0
2023-11-24,193739.14589112706,36334.231447157326,31,0
2023-11-27,193739.14589112706,36334.231447157326,31,0
2023-11-28,195110.20100587315,36334.231447157326,31,0
2023-11-29,196270.0265692887,40055.268451612894,31,0
2023-11-30,197681.76234809728,40055.268451612894,31,0
2023-12-01,198454.36413947912,40055.268451612894,31,0
2023-12-04,200909.30740730138,40055.268451612894,31,0
2023-12-05,201763.8571967301,40055.268451612894,31,0
2023-12-06,201747.938279036,21284.193894270375,42,0
2023-12-07,201601.3704842362,21284.193894270375,42,0
2023-12-08,201637.3481606278,21284.193894270375,42,0
2023-12-11,202067.84835899205,21284.193894270375,42,0
2023-12-12,201540.953324202,21284.193894270375,42,0
2023-12-13,202310.5053908524,29598.30127403112,39,0
2023-12-14,203915.32286521763,29598.30127403112,39,0
2023-12-15,205915.00516197056,29598.30127403112,39,0
2023-12-18,205736.18552085728,29598.30127403112,39,0
2023-12-19,206264.3160597977,29598.30127403112,39,0
2023-12-20,202540.83761118932,40151.406764021354,38,0
2023-12-21,203491.46357249303,40151.406764021354,38,0
2023-12-22,205266.70547007603,40151.406764021354,38,0
2023-12-25,205266.70547007603,40151.406764021354,38,0
2023-12-26,206732.18088816685,40151.406764021354,38,0
2023-12-27,208476.34819993444,36541.7701359696,38,0
2023-12-28,210260.3408757157,36541.7701359696,38,0
2023-12-29,210204.31511887975,36541.7701359696,38,0
2024-01-01,210388.6917057938,36541.7701359696,38,0
2024-01-02,210099.9885807938,36541.7701359696,38,0
2024-01-03,209000.87238694617,44960.30387498328,37,0
2024-01-04,210010.77125169226,44960.30387498328,37,0
2024-01-05,210042.70901109168,44960.30387498328,37,0
2024-01-08,208947.75902940222,44960.30387498328,37,0
2024-01-09,209976.96989060828,44960.30387498328,37,0
2024-01-10,210077.3651029496,86042.14179057168,24,0
2024-01-11,210737.68593424844,86042.14179057168,24,0
2024-01-12,211947.33074015664,86042.14179057168,24,0
2024-01-15,213081.96463603067,86042.14179057168,24,0
2024-01-16,212583.46671122598,86042.14179057168,24,0
2024-01-17,211832.81755976722,54804.96062617347,29,0
2024-01-18,211598.59365229652,54804.96062617347,29,0
2024-01-19,213677.53293757484,54804.96062617347,29,0
2024-01-22,213677.53293757484,54804.96062617347,29,0
2024-01-23,211799.7033172135,54804.96062617347,29,0
2024-01-24,214119.57753535316,64069.69235774086,26,0
2024-01-25,213514.60365840004,64069.69235774086,26,0
2024-01-26,213514.60365840004,64069.69235774086,26,0
2024-01-29,216449.4199730973,64069.69235774086,26,0
2024-01-30,215464.37126704262,64069.69235774086,26,0
2024-01-31,216816.752939589,39942.53664625404,32,0
2024-02-01,216492.0376838517,39942.53664625404,32,0
